,TotalPop,Men,Women,Income,Poverty,Drive,Carpool,Walk,OtherTransp,WorkAtHome,Employed,Unemployment,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Borough,County_x,Hispanic,Black,Asian,White,Office,Construction,Production,Professional,Service,CensusTract,Latitude,Longitude,0
1449,2276,989,1287,14821.0,53.3,13.2,1.5,11.5,2.2,6.5,627,20.7,85.3,6.9,7.8,0.0,Bronx,Bronx,76.5,19.0,3.5,0.4,38.3,3.2,4.5,15.3,38.8,36005036901,40.8440703518,-73.8937688442,7.059345231008753
1450,2276,989,1287,14821.0,53.3,13.2,1.5,11.5,2.2,6.5,627,20.7,85.3,6.9,7.8,0.0,Bronx,Bronx,76.5,19.0,3.5,0.4,38.3,3.2,4.5,15.3,38.8,36005036901,40.8440703518,-73.8906030151,7.059345231008753
5580,2139,920,1219,26745.0,25.9,20.3,2.2,5.6,1.2,0.6,880,8.8,81.4,16.0,2.6,0.0,Brooklyn,Kings,32.0,65.7,1.0,0.0,28.4,1.6,9.9,28.3,31.8,36047116000,40.667688442199996,-73.8874371859,7.0183761207376945
5581,2139,920,1219,26745.0,25.9,20.3,2.2,5.6,1.2,0.6,880,8.8,81.4,16.0,2.6,0.0,Brooklyn,Kings,32.0,65.7,1.0,0.0,28.4,1.6,9.9,28.3,31.8,36047116000,40.6699497487,-73.8874371859,7.0183761207376945
7198,4670,2390,2280,54718.0,32.6,11.8,1.0,6.9,1.0,9.4,2382,10.4,75.9,14.2,9.0,0.9,Manhattan,New York,62.0,3.0,1.3,31.1,16.2,0.8,2.2,46.6,34.2,36061030300,40.8689447236,-73.91909547739999,7.003907536599209
7199,4670,2390,2280,54718.0,32.6,11.8,1.0,6.9,1.0,9.4,2382,10.4,75.9,14.2,9.0,0.9,Manhattan,New York,62.0,3.0,1.3,31.1,16.2,0.8,2.2,46.6,34.2,36061030300,40.8689447236,-73.91592964819999,7.003907536599209
7200,4670,2390,2280,54718.0,32.6,11.8,1.0,6.9,1.0,9.4,2382,10.4,75.9,14.2,9.0,0.9,Manhattan,New York,62.0,3.0,1.3,31.1,16.2,0.8,2.2,46.6,34.2,36061030300,40.8712060302,-73.91909547739999,7.003907536599209
7287,3884,2071,1813,61900.0,12.4,30.8,4.3,6.2,0.3,2.3,1780,9.6,85.9,11.4,2.7,0.0,Queens,Queens,60.2,6.1,16.1,13.3,21.9,11.8,12.8,20.1,33.5,36081001000,40.6903015075,-73.85894472359999,7.030069834359163
7288,4998,2555,2443,63862.0,12.1,33.6,11.7,2.2,2.0,0.0,2460,7.0,81.9,10.2,7.9,0.0,Queens,Queens,58.7,2.3,17.0,19.5,23.0,6.1,9.5,35.4,26.0,36081001200,40.6925628141,-73.8621105528,7.024384812422326
7289,4998,2555,2443,63862.0,12.1,33.6,11.7,2.2,2.0,0.0,2460,7.0,81.9,10.2,7.9,0.0,Queens,Queens,58.7,2.3,17.0,19.5,23.0,6.1,9.5,35.4,26.0,36081001200,40.6925628141,-73.85894472359999,7.024384812422326
7290,4998,2555,2443,63862.0,12.1,33.6,11.7,2.2,2.0,0.0,2460,7.0,81.9,10.2,7.9,0.0,Queens,Queens,58.7,2.3,17.0,19.5,23.0,6.1,9.5,35.4,26.0,36081001200,40.694824120599996,-73.8621105528,7.024384812422326
7291,4998,2555,2443,63862.0,12.1,33.6,11.7,2.2,2.0,0.0,2460,7.0,81.9,10.2,7.9,0.0,Queens,Queens,58.7,2.3,17.0,19.5,23.0,6.1,9.5,35.4,26.0,36081001200,40.694824120599996,-73.85894472359999,7.024384812422326
7295,3244,1501,1743,61786.0,22.1,28.0,4.5,9.8,0.0,0.6,1551,8.8,84.3,14.2,1.5,0.0,Queens,Queens,70.6,2.5,11.9,9.1,27.8,4.4,14.6,25.3,27.9,36081001600,40.6903015075,-73.85577889449999,7.022756931028429
7296,3244,1501,1743,61786.0,22.1,28.0,4.5,9.8,0.0,0.6,1551,8.8,84.3,14.2,1.5,0.0,Queens,Queens,70.6,2.5,11.9,9.1,27.8,4.4,14.6,25.3,27.9,36081001600,40.6925628141,-73.85577889449999,7.022756931028429
7297,3443,1742,1701,62895.0,19.1,27.6,2.3,3.4,2.1,1.1,1493,9.8,83.6,11.8,4.6,0.0,Queens,Queens,58.2,6.8,18.7,12.2,25.9,4.4,14.1,23.2,32.4,36081001800,40.688040201,-73.85261306529999,7.01903134793847
7298,3443,1742,1701,62895.0,19.1,27.6,2.3,3.4,2.1,1.1,1493,9.8,83.6,11.8,4.6,0.0,Queens,Queens,58.2,6.8,18.7,12.2,25.9,4.4,14.1,23.2,32.4,36081001800,40.688040201,-73.84944723619998,7.01903134793847
7299,3443,1742,1701,62895.0,19.1,27.6,2.3,3.4,2.1,1.1,1493,9.8,83.6,11.8,4.6,0.0,Queens,Queens,58.2,6.8,18.7,12.2,25.9,4.4,14.1,23.2,32.4,36081001800,40.6903015075,-73.85261306529999,7.01903134793847
7300,3443,1742,1701,62895.0,19.1,27.6,2.3,3.4,2.1,1.1,1493,9.8,83.6,11.8,4.6,0.0,Queens,Queens,58.2,6.8,18.7,12.2,25.9,4.4,14.1,23.2,32.4,36081001800,40.6925628141,-73.85261306529999,7.01903134793847
7317,2178,1069,1109,58333.0,13.4,25.0,8.1,4.7,0.9,1.4,1014,11.9,80.0,14.4,5.1,0.5,Queens,Queens,60.0,5.6,14.2,17.9,26.1,8.2,8.9,21.8,35.0,36081002200,40.694824120599996,-73.84944723619998,7.057643690830694
7318,2178,1069,1109,58333.0,13.4,25.0,8.1,4.7,0.9,1.4,1014,11.9,80.0,14.4,5.1,0.5,Queens,Queens,60.0,5.6,14.2,17.9,26.1,8.2,8.9,21.8,35.0,36081002200,40.6970854271,-73.85261306529999,7.057643690830694
7319,2178,1069,1109,58333.0,13.4,25.0,8.1,4.7,0.9,1.4,1014,11.9,80.0,14.4,5.1,0.5,Queens,Queens,60.0,5.6,14.2,17.9,26.1,8.2,8.9,21.8,35.0,36081002200,40.6970854271,-73.84944723619998,7.057643690830694
7321,6392,2712,3680,16584.0,48.2,11.0,1.8,6.9,0.6,0.0,2150,15.1,81.1,14.9,3.3,0.7,Queens,Queens,43.4,44.7,7.3,2.0,35.6,3.4,15.5,4.8,40.7,36081002500,40.753618090500005,-73.9444221106,7.215812392508683
7322,6392,2712,3680,16584.0,48.2,11.0,1.8,6.9,0.6,0.0,2150,15.1,81.1,14.9,3.3,0.7,Queens,Queens,43.4,44.7,7.3,2.0,35.6,3.4,15.5,4.8,40.7,36081002500,40.755879397,-73.9475879397,7.215812392508683
7323,6392,2712,3680,16584.0,48.2,11.0,1.8,6.9,0.6,0.0,2150,15.1,81.1,14.9,3.3,0.7,Queens,Queens,43.4,44.7,7.3,2.0,35.6,3.4,15.5,4.8,40.7,36081002500,40.755879397,-73.9444221106,7.215812392508683
7326,2971,1505,1466,57457.0,16.6,28.1,7.1,6.7,0.3,2.4,1548,11.1,86.4,9.5,4.1,0.0,Queens,Queens,54.5,3.9,12.3,18.2,26.4,13.6,17.1,14.3,28.6,36081002800,40.6903015075,-73.8431155779,7.0127020358466075
7327,2971,1505,1466,57457.0,16.6,28.1,7.1,6.7,0.3,2.4,1548,11.1,86.4,9.5,4.1,0.0,Queens,Queens,54.5,3.9,12.3,18.2,26.4,13.6,17.1,14.3,28.6,36081002800,40.6925628141,-73.84628140699999,7.0127020358466075
7328,2971,1505,1466,57457.0,16.6,28.1,7.1,6.7,0.3,2.4,1548,11.1,86.4,9.5,4.1,0.0,Queens,Queens,54.5,3.9,12.3,18.2,26.4,13.6,17.1,14.3,28.6,36081002800,40.6925628141,-73.8431155779,7.0127020358466075
7329,2971,1505,1466,57457.0,16.6,28.1,7.1,6.7,0.3,2.4,1548,11.1,86.4,9.5,4.1,0.0,Queens,Queens,54.5,3.9,12.3,18.2,26.4,13.6,17.1,14.3,28.6,36081002800,40.694824120599996,-73.84628140699999,7.0127020358466075
7365,2418,1134,1284,18594.0,41.9,12.0,1.2,6.5,2.2,4.2,868,24.5,84.0,13.2,2.8,0.0,Queens,Queens,52.9,29.1,3.6,10.9,26.5,5.3,4.7,9.1,54.4,36081004300,40.7604020101,-73.93809045229999,7.041961553355886
7366,2418,1134,1284,18594.0,41.9,12.0,1.2,6.5,2.2,4.2,868,24.5,84.0,13.2,2.8,0.0,Queens,Queens,52.9,29.1,3.6,10.9,26.5,5.3,4.7,9.1,54.4,36081004300,40.7626633166,-73.9349246231,7.041961553355886
7405,4174,2155,2019,66875.0,12.3,13.4,2.5,6.3,1.2,1.3,2735,7.3,80.0,12.8,6.9,0.3,Queens,Queens,29.1,1.5,9.4,56.5,20.2,6.1,6.1,45.3,22.3,36081005900,40.7581407035,-73.92226130649999,7.0285162213213885
7406,4174,2155,2019,66875.0,12.3,13.4,2.5,6.3,1.2,1.3,2735,7.3,80.0,12.8,6.9,0.3,Queens,Queens,29.1,1.5,9.4,56.5,20.2,6.1,6.1,45.3,22.3,36081005900,40.7604020101,-73.92542713569999,7.0285162213213885
7407,4174,2155,2019,66875.0,12.3,13.4,2.5,6.3,1.2,1.3,2735,7.3,80.0,12.8,6.9,0.3,Queens,Queens,29.1,1.5,9.4,56.5,20.2,6.1,6.1,45.3,22.3,36081005900,40.7604020101,-73.92226130649999,7.0285162213213885
7408,5980,2607,3373,59397.0,14.0,11.4,0.7,5.6,1.4,3.1,3790,7.3,85.2,8.5,6.2,0.0,Queens,Queens,24.0,2.3,18.6,54.7,19.3,3.7,1.2,53.4,22.5,36081006100,40.7604020101,-73.91909547739999,7.079882904494464
7409,5980,2607,3373,59397.0,14.0,11.4,0.7,5.6,1.4,3.1,3790,7.3,85.2,8.5,6.2,0.0,Queens,Queens,24.0,2.3,18.6,54.7,19.3,3.7,1.2,53.4,22.5,36081006100,40.7626633166,-73.92542713569999,7.079882904494464
7410,5980,2607,3373,59397.0,14.0,11.4,0.7,5.6,1.4,3.1,3790,7.3,85.2,8.5,6.2,0.0,Queens,Queens,24.0,2.3,18.6,54.7,19.3,3.7,1.2,53.4,22.5,36081006100,40.7626633166,-73.92226130649999,7.079882904494464
7411,5996,2640,3356,62572.0,13.8,57.6,4.1,4.2,0.9,1.4,2750,10.9,70.9,24.8,4.3,0.0,Queens,Queens,27.5,4.6,3.7,63.1,29.5,4.8,14.6,31.1,20.0,36081006201,40.6654271357,-73.84944723619998,7.024058883970109
7412,5996,2640,3356,62572.0,13.8,57.6,4.1,4.2,0.9,1.4,2750,10.9,70.9,24.8,4.3,0.0,Queens,Queens,27.5,4.6,3.7,63.1,29.5,4.8,14.6,31.1,20.0,36081006201,40.6654271357,-73.84628140699999,7.024058883970109
7413,5996,2640,3356,62572.0,13.8,57.6,4.1,4.2,0.9,1.4,2750,10.9,70.9,24.8,4.3,0.0,Queens,Queens,27.5,4.6,3.7,63.1,29.5,4.8,14.6,31.1,20.0,36081006201,40.667688442199996,-73.84944723619998,7.024058883970109
7414,5996,2640,3356,62572.0,13.8,57.6,4.1,4.2,0.9,1.4,2750,10.9,70.9,24.8,4.3,0.0,Queens,Queens,27.5,4.6,3.7,63.1,29.5,4.8,14.6,31.1,20.0,36081006201,40.667688442199996,-73.84628140699999,7.024058883970109
7415,5996,2640,3356,62572.0,13.8,57.6,4.1,4.2,0.9,1.4,2750,10.9,70.9,24.8,4.3,0.0,Queens,Queens,27.5,4.6,3.7,63.1,29.5,4.8,14.6,31.1,20.0,36081006201,40.667688442199996,-73.8431155779,7.024058883970109
7416,7378,3373,4005,55253.0,13.1,55.2,8.3,3.1,0.0,0.4,3467,9.6,76.9,18.3,4.8,0.0,Queens,Queens,35.8,3.6,8.6,51.2,31.2,6.7,8.0,31.5,22.7,36081006202,40.6563819095,-73.85894472359999,7.005494818164864
7417,7378,3373,4005,55253.0,13.1,55.2,8.3,3.1,0.0,0.4,3467,9.6,76.9,18.3,4.8,0.0,Queens,Queens,35.8,3.6,8.6,51.2,31.2,6.7,8.0,31.5,22.7,36081006202,40.6586432161,-73.8621105528,7.005494818164864
7418,7378,3373,4005,55253.0,13.1,55.2,8.3,3.1,0.0,0.4,3467,9.6,76.9,18.3,4.8,0.0,Queens,Queens,35.8,3.6,8.6,51.2,31.2,6.7,8.0,31.5,22.7,36081006202,40.6586432161,-73.85894472359999,7.005494818164864
7419,7378,3373,4005,55253.0,13.1,55.2,8.3,3.1,0.0,0.4,3467,9.6,76.9,18.3,4.8,0.0,Queens,Queens,35.8,3.6,8.6,51.2,31.2,6.7,8.0,31.5,22.7,36081006202,40.6586432161,-73.85577889449999,7.005494818164864
7420,7378,3373,4005,55253.0,13.1,55.2,8.3,3.1,0.0,0.4,3467,9.6,76.9,18.3,4.8,0.0,Queens,Queens,35.8,3.6,8.6,51.2,31.2,6.7,8.0,31.5,22.7,36081006202,40.6609045226,-73.85577889449999,7.005494818164864
7421,7378,3373,4005,55253.0,13.1,55.2,8.3,3.1,0.0,0.4,3467,9.6,76.9,18.3,4.8,0.0,Queens,Queens,35.8,3.6,8.6,51.2,31.2,6.7,8.0,31.5,22.7,36081006202,40.6609045226,-73.85261306529999,7.005494818164864
7422,7378,3373,4005,55253.0,13.1,55.2,8.3,3.1,0.0,0.4,3467,9.6,76.9,18.3,4.8,0.0,Queens,Queens,35.8,3.6,8.6,51.2,31.2,6.7,8.0,31.5,22.7,36081006202,40.663165829099995,-73.85577889449999,7.005494818164864
7423,7378,3373,4005,55253.0,13.1,55.2,8.3,3.1,0.0,0.4,3467,9.6,76.9,18.3,4.8,0.0,Queens,Queens,35.8,3.6,8.6,51.2,31.2,6.7,8.0,31.5,22.7,36081006202,40.663165829099995,-73.85261306529999,7.005494818164864
7424,7378,3373,4005,55253.0,13.1,55.2,8.3,3.1,0.0,0.4,3467,9.6,76.9,18.3,4.8,0.0,Queens,Queens,35.8,3.6,8.6,51.2,31.2,6.7,8.0,31.5,22.7,36081006202,40.663165829099995,-73.84944723619998,7.005494818164864
7425,7378,3373,4005,55253.0,13.1,55.2,8.3,3.1,0.0,0.4,3467,9.6,76.9,18.3,4.8,0.0,Queens,Queens,35.8,3.6,8.6,51.2,31.2,6.7,8.0,31.5,22.7,36081006202,40.6654271357,-73.85577889449999,7.005494818164864
7426,7378,3373,4005,55253.0,13.1,55.2,8.3,3.1,0.0,0.4,3467,9.6,76.9,18.3,4.8,0.0,Queens,Queens,35.8,3.6,8.6,51.2,31.2,6.7,8.0,31.5,22.7,36081006202,40.6654271357,-73.85261306529999,7.005494818164864
7427,7378,3373,4005,55253.0,13.1,55.2,8.3,3.1,0.0,0.4,3467,9.6,76.9,18.3,4.8,0.0,Queens,Queens,35.8,3.6,8.6,51.2,31.2,6.7,8.0,31.5,22.7,36081006202,40.667688442199996,-73.85577889449999,7.005494818164864
7428,7378,3373,4005,55253.0,13.1,55.2,8.3,3.1,0.0,0.4,3467,9.6,76.9,18.3,4.8,0.0,Queens,Queens,35.8,3.6,8.6,51.2,31.2,6.7,8.0,31.5,22.7,36081006202,40.667688442199996,-73.85261306529999,7.005494818164864
7429,7378,3373,4005,55253.0,13.1,55.2,8.3,3.1,0.0,0.4,3467,9.6,76.9,18.3,4.8,0.0,Queens,Queens,35.8,3.6,8.6,51.2,31.2,6.7,8.0,31.5,22.7,36081006202,40.6699497487,-73.85577889449999,7.005494818164864
7430,7378,3373,4005,55253.0,13.1,55.2,8.3,3.1,0.0,0.4,3467,9.6,76.9,18.3,4.8,0.0,Queens,Queens,35.8,3.6,8.6,51.2,31.2,6.7,8.0,31.5,22.7,36081006202,40.6699497487,-73.85261306529999,7.005494818164864
7431,7378,3373,4005,55253.0,13.1,55.2,8.3,3.1,0.0,0.4,3467,9.6,76.9,18.3,4.8,0.0,Queens,Queens,35.8,3.6,8.6,51.2,31.2,6.7,8.0,31.5,22.7,36081006202,40.6699497487,-73.84944723619998,7.005494818164864
7432,7378,3373,4005,55253.0,13.1,55.2,8.3,3.1,0.0,0.4,3467,9.6,76.9,18.3,4.8,0.0,Queens,Queens,35.8,3.6,8.6,51.2,31.2,6.7,8.0,31.5,22.7,36081006202,40.6699497487,-73.84628140699999,7.005494818164864
7433,7378,3373,4005,55253.0,13.1,55.2,8.3,3.1,0.0,0.4,3467,9.6,76.9,18.3,4.8,0.0,Queens,Queens,35.8,3.6,8.6,51.2,31.2,6.7,8.0,31.5,22.7,36081006202,40.672211055300004,-73.85894472359999,7.005494818164864
7434,7378,3373,4005,55253.0,13.1,55.2,8.3,3.1,0.0,0.4,3467,9.6,76.9,18.3,4.8,0.0,Queens,Queens,35.8,3.6,8.6,51.2,31.2,6.7,8.0,31.5,22.7,36081006202,40.672211055300004,-73.85577889449999,7.005494818164864
7435,7378,3373,4005,55253.0,13.1,55.2,8.3,3.1,0.0,0.4,3467,9.6,76.9,18.3,4.8,0.0,Queens,Queens,35.8,3.6,8.6,51.2,31.2,6.7,8.0,31.5,22.7,36081006202,40.672211055300004,-73.85261306529999,7.005494818164864
7468,2849,1341,1508,73345.0,14.6,35.8,10.7,8.8,0.5,3.6,1308,16.7,77.8,15.2,7.0,0.0,Queens,Queens,51.1,2.8,14.0,30.1,25.8,9.1,10.3,28.6,26.2,36081008600,40.6744723618,-73.8431155779,7.00166914765442
7469,2849,1341,1508,73345.0,14.6,35.8,10.7,8.8,0.5,3.6,1308,16.7,77.8,15.2,7.0,0.0,Queens,Queens,51.1,2.8,14.0,30.1,25.8,9.1,10.3,28.6,26.2,36081008600,40.6744723618,-73.8399497487,7.00166914765442
7470,2849,1341,1508,73345.0,14.6,35.8,10.7,8.8,0.5,3.6,1308,16.7,77.8,15.2,7.0,0.0,Queens,Queens,51.1,2.8,14.0,30.1,25.8,9.1,10.3,28.6,26.2,36081008600,40.6767336683,-73.8431155779,7.00166914765442
7471,2849,1341,1508,73345.0,14.6,35.8,10.7,8.8,0.5,3.6,1308,16.7,77.8,15.2,7.0,0.0,Queens,Queens,51.1,2.8,14.0,30.1,25.8,9.1,10.3,28.6,26.2,36081008600,40.6767336683,-73.8399497487,7.00166914765442
7472,2849,1341,1508,73345.0,14.6,35.8,10.7,8.8,0.5,3.6,1308,16.7,77.8,15.2,7.0,0.0,Queens,Queens,51.1,2.8,14.0,30.1,25.8,9.1,10.3,28.6,26.2,36081008600,40.6789949749,-73.8431155779,7.00166914765442
7473,2849,1341,1508,73345.0,14.6,35.8,10.7,8.8,0.5,3.6,1308,16.7,77.8,15.2,7.0,0.0,Queens,Queens,51.1,2.8,14.0,30.1,25.8,9.1,10.3,28.6,26.2,36081008600,40.6789949749,-73.8399497487,7.00166914765442
7474,5107,2429,2678,21767.0,39.2,11.5,3.5,11.6,3.9,3.2,1852,21.4,76.1,12.9,8.2,2.9,Queens,Queens,40.0,51.6,1.5,6.5,31.3,3.2,7.0,18.6,40.0,36081008700,40.7717085427,-73.9349246231,7.049622549134075
7475,5107,2429,2678,21767.0,39.2,11.5,3.5,11.6,3.9,3.2,1852,21.4,76.1,12.9,8.2,2.9,Queens,Queens,40.0,51.6,1.5,6.5,31.3,3.2,7.0,18.6,40.0,36081008700,40.7739698492,-73.93809045229999,7.049622549134075
7476,5107,2429,2678,21767.0,39.2,11.5,3.5,11.6,3.9,3.2,1852,21.4,76.1,12.9,8.2,2.9,Queens,Queens,40.0,51.6,1.5,6.5,31.3,3.2,7.0,18.6,40.0,36081008700,40.7739698492,-73.9349246231,7.049622549134075
7477,5107,2429,2678,21767.0,39.2,11.5,3.5,11.6,3.9,3.2,1852,21.4,76.1,12.9,8.2,2.9,Queens,Queens,40.0,51.6,1.5,6.5,31.3,3.2,7.0,18.6,40.0,36081008700,40.7762311558,-73.9349246231,7.049622549134075
7485,2863,1547,1316,65809.0,11.3,23.5,1.6,5.6,1.3,4.7,1691,7.9,81.3,9.8,9.0,0.0,Queens,Queens,30.5,3.6,8.4,50.1,15.3,0.0,10.1,45.7,29.0,36081009100,40.7739698492,-73.92542713569999,7.083547857708553
7486,2863,1547,1316,65809.0,11.3,23.5,1.6,5.6,1.3,4.7,1691,7.9,81.3,9.8,9.0,0.0,Queens,Queens,30.5,3.6,8.4,50.1,15.3,0.0,10.1,45.7,29.0,36081009100,40.7762311558,-73.93175879399999,7.083547857708553
7487,2863,1547,1316,65809.0,11.3,23.5,1.6,5.6,1.3,4.7,1691,7.9,81.3,9.8,9.0,0.0,Queens,Queens,30.5,3.6,8.4,50.1,15.3,0.0,10.1,45.7,29.0,36081009100,40.7762311558,-73.92859296479999,7.083547857708553
7488,2863,1547,1316,65809.0,11.3,23.5,1.6,5.6,1.3,4.7,1691,7.9,81.3,9.8,9.0,0.0,Queens,Queens,30.5,3.6,8.4,50.1,15.3,0.0,10.1,45.7,29.0,36081009100,40.7784924623,-73.9349246231,7.083547857708553
7492,2755,1488,1267,60960.0,13.8,21.8,2.1,7.7,0.3,3.2,1575,8.2,81.8,10.2,7.9,0.0,Queens,Queens,17.0,3.0,14.8,63.4,21.3,8.9,6.2,48.0,15.6,36081009500,40.7739698492,-73.92226130649999,7.000643836553952
7493,2755,1488,1267,60960.0,13.8,21.8,2.1,7.7,0.3,3.2,1575,8.2,81.8,10.2,7.9,0.0,Queens,Queens,17.0,3.0,14.8,63.4,21.3,8.9,6.2,48.0,15.6,36081009500,40.7739698492,-73.91909547739999,7.000643836553952
7494,2755,1488,1267,60960.0,13.8,21.8,2.1,7.7,0.3,3.2,1575,8.2,81.8,10.2,7.9,0.0,Queens,Queens,17.0,3.0,14.8,63.4,21.3,8.9,6.2,48.0,15.6,36081009500,40.7762311558,-73.92226130649999,7.000643836553952
7501,2818,1417,1401,50114.0,21.9,26.4,4.2,2.7,0.0,1.7,1216,16.9,80.3,11.1,8.6,0.0,Queens,Queens,19.9,11.1,29.6,2.6,22.6,15.7,15.0,15.5,31.2,36081009800,40.6857788945,-73.8304522613,7.073915561668136
7507,3833,1833,2000,66696.0,19.8,36.4,14.8,5.8,2.2,0.0,1762,8.6,77.6,9.0,13.4,0.0,Queens,Queens,22.4,26.2,28.4,3.8,28.9,12.6,13.9,17.6,27.0,36081010000,40.6789949749,-73.8272864322,7.04546236702754
7508,3833,1833,2000,66696.0,19.8,36.4,14.8,5.8,2.2,0.0,1762,8.6,77.6,9.0,13.4,0.0,Queens,Queens,22.4,26.2,28.4,3.8,28.9,12.6,13.9,17.6,27.0,36081010000,40.681256281399996,-73.8304522613,7.04546236702754
7509,3833,1833,2000,66696.0,19.8,36.4,14.8,5.8,2.2,0.0,1762,8.6,77.6,9.0,13.4,0.0,Queens,Queens,22.4,26.2,28.4,3.8,28.9,12.6,13.9,17.6,27.0,36081010000,40.6835175879,-73.8304522613,7.04546236702754
7523,4115,1946,2169,46292.0,22.8,22.5,6.1,1.8,1.7,1.3,1787,13.8,74.7,14.9,8.6,1.9,Queens,Queens,43.9,3.8,10.5,41.0,25.5,7.9,7.4,30.7,28.5,36081010500,40.780753768800004,-73.90959798989999,7.047581432098986
7524,4115,1946,2169,46292.0,22.8,22.5,6.1,1.8,1.7,1.3,1787,13.8,74.7,14.9,8.6,1.9,Queens,Queens,43.9,3.8,10.5,41.0,25.5,7.9,7.4,30.7,28.5,36081010500,40.7830150754,-73.9127638191,7.047581432098986
7525,4115,1946,2169,46292.0,22.8,22.5,6.1,1.8,1.7,1.3,1787,13.8,74.7,14.9,8.6,1.9,Queens,Queens,43.9,3.8,10.5,41.0,25.5,7.9,7.4,30.7,28.5,36081010500,40.7852763819,-73.91592964819999,7.047581432098986
7526,3741,1728,2013,55625.0,20.6,34.2,5.2,3.9,1.0,0.3,1766,11.3,87.8,8.6,3.6,0.0,Queens,Queens,12.5,17.8,27.2,2.9,24.7,16.0,9.5,21.7,28.1,36081010600,40.6835175879,-73.824120603,7.040401307290691
7527,3741,1728,2013,55625.0,20.6,34.2,5.2,3.9,1.0,0.3,1766,11.3,87.8,8.6,3.6,0.0,Queens,Queens,12.5,17.8,27.2,2.9,24.7,16.0,9.5,21.7,28.1,36081010600,40.6857788945,-73.824120603,7.040401307290691
7528,3741,1728,2013,55625.0,20.6,34.2,5.2,3.9,1.0,0.3,1766,11.3,87.8,8.6,3.6,0.0,Queens,Queens,12.5,17.8,27.2,2.9,24.7,16.0,9.5,21.7,28.1,36081010600,40.688040201,-73.8272864322,7.040401307290691
7574,3530,1778,1752,44545.0,15.3,34.5,6.6,4.1,4.0,0.7,1595,10.0,84.6,7.3,8.1,0.0,Queens,Queens,17.7,7.4,38.6,3.5,25.5,13.5,19.8,15.0,26.1,36081010800,40.688040201,-73.8304522613,7.000641307027623
7575,3530,1778,1752,44545.0,15.3,34.5,6.6,4.1,4.0,0.7,1595,10.0,84.6,7.3,8.1,0.0,Queens,Queens,17.7,7.4,38.6,3.5,25.5,13.5,19.8,15.0,26.1,36081010800,40.6903015075,-73.8304522613,7.000641307027623
7578,3440,1671,1769,61078.0,11.8,14.5,3.3,6.5,1.5,8.7,1841,6.8,81.5,13.3,5.3,0.0,Queens,Queens,22.8,0.3,15.8,55.7,28.1,6.9,4.8,43.2,16.9,36081011100,40.7784924623,-73.9064321608,7.067872276134959
7587,1050,510,540,38750.0,24.8,21.6,2.4,5.6,0.0,1.2,388,10.2,86.3,8.2,5.4,0.0,Queens,Queens,57.7,15.9,9.3,12.4,23.2,12.6,18.0,5.4,40.7,36081011400,40.688040201,-73.8431155779,7.015732569636614
7588,1050,510,540,38750.0,24.8,21.6,2.4,5.6,0.0,1.2,388,10.2,86.3,8.2,5.4,0.0,Queens,Queens,57.7,15.9,9.3,12.4,23.2,12.6,18.0,5.4,40.7,36081011400,40.688040201,-73.8399497487,7.015732569636614
7622,2728,1396,1332,60481.0,18.5,22.8,3.6,7.6,1.5,4.6,1191,14.1,78.3,10.9,10.7,0.0,Queens,Queens,65.8,9.8,12.8,6.7,21.4,9.3,13.7,25.4,30.2,36081012601,40.6925628141,-73.8367839196,7.027156776972022
7623,2728,1396,1332,60481.0,18.5,22.8,3.6,7.6,1.5,4.6,1191,14.1,78.3,10.9,10.7,0.0,Queens,Queens,65.8,9.8,12.8,6.7,21.4,9.3,13.7,25.4,30.2,36081012601,40.694824120599996,-73.8367839196,7.027156776972022
7650,3733,1710,2023,67054.0,7.4,37.4,6.5,3.4,4.6,7.9,1993,6.5,81.2,15.6,3.2,0.0,Queens,Queens,18.6,7.2,13.7,60.5,25.5,7.1,8.3,41.5,17.6,36081014000,40.7038693467,-73.8304522613,7.057310303006538
7651,3733,1710,2023,67054.0,7.4,37.4,6.5,3.4,4.6,7.9,1993,6.5,81.2,15.6,3.2,0.0,Queens,Queens,18.6,7.2,13.7,60.5,25.5,7.1,8.3,41.5,17.6,36081014000,40.7038693467,-73.8272864322,7.057310303006538
7652,3733,1710,2023,67054.0,7.4,37.4,6.5,3.4,4.6,7.9,1993,6.5,81.2,15.6,3.2,0.0,Queens,Queens,18.6,7.2,13.7,60.5,25.5,7.1,8.3,41.5,17.6,36081014000,40.7038693467,-73.824120603,7.057310303006538
7668,2033,993,1040,55341.0,17.8,39.9,5.8,2.9,3.2,0.5,777,9.1,75.7,13.3,11.1,0.0,Queens,Queens,44.0,5.6,46.2,1.4,20.3,10.0,19.6,19.0,31.0,36081014400,40.694824120599996,-73.8272864322,7.079638375256132
7669,2033,993,1040,55341.0,17.8,39.9,5.8,2.9,3.2,0.5,777,9.1,75.7,13.3,11.1,0.0,Queens,Queens,44.0,5.6,46.2,1.4,20.3,10.0,19.6,19.0,31.0,36081014400,40.6970854271,-73.8272864322,7.079638375256132
7670,2033,993,1040,55341.0,17.8,39.9,5.8,2.9,3.2,0.5,777,9.1,75.7,13.3,11.1,0.0,Queens,Queens,44.0,5.6,46.2,1.4,20.3,10.0,19.6,19.0,31.0,36081014400,40.6993467337,-73.8304522613,7.079638375256132
