,start_station_id,start_station_latitude,start_station_longitude,tripduration,tmp,CensusTract,County_x,Borough,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Latitude,Longitude,BlockCode,County_y,State,BlockCode_11,borough_distance,distance_rank
6144982,3121,40.74524768,-73.94733276,576,tmp,36081001900,Queens,Queens,1655,853,802,20.0,45.6,1.9,0.0,29.5,1042,117788.0,18798.0,74751.0,15461.0,7.6,0.0,70.2,9.5,17.8,0.0,2.5,8.9,0.4,83.1,1.9,3.7,1.9,28.9,1187,86.4,8.5,5.1,0.0,6.9,40.7445728643,-73.9475879397,360810019001073,Queens,NY,36081001900,0.0780792801193935,1.0
6162994,3122,40.74436328706688,-73.95587325096129,380,tmp,36081000100,Queens,Queens,6403,3322,3081,6.0,61.5,5.5,0.0,21.1,4126,127807.0,12982.0,78858.0,7494.0,11.4,2.5,75.4,5.1,17.2,1.0,1.3,14.1,0.6,78.5,2.8,0.8,3.2,30.7,4205,88.8,7.0,4.2,0.0,3.5,40.7445728643,-73.9570854271,360810001001010,Queens,NY,36081000100,0.10477719521129825,1.0
6181545,3123,40.74469738,-73.93540375,446,tmp,36081017900,Queens,Queens,994,501,493,35.8,27.8,2.9,0.0,31.4,490,41544.0,9514.0,23378.0,3851.0,11.7,4.4,31.2,23.7,23.4,0.0,21.6,14.1,3.4,67.9,5.6,5.1,3.9,37.0,573,84.8,11.2,4.0,0.0,7.9,40.7445728643,-73.9349246231,360810179002014,Queens,NY,36081017900,0.04268566646103425,1.0
6199117,3124,40.74731,-73.95451,1554,tmp,36081000700,Queens,Queens,5815,3134,2681,16.4,59.8,0.9,0.0,17.9,3762,93670.0,19723.0,61061.0,5742.0,6.1,1.8,68.3,13.6,11.2,5.2,1.7,10.0,2.4,74.6,7.2,2.4,3.4,30.4,3872,86.0,5.9,8.1,0.0,6.5,40.7468341709,-73.953919598,360810007003005,Queens,NY,36081000700,0.0726390858617526,1.0
6217170,3125,40.74708586,-73.94977234,993,tmp,36081000700,Queens,Queens,5815,3134,2681,16.4,59.8,0.9,0.0,17.9,3762,93670.0,19723.0,61061.0,5742.0,6.1,1.8,68.3,13.6,11.2,5.2,1.7,10.0,2.4,74.6,7.2,2.4,3.4,30.4,3872,86.0,5.9,8.1,0.0,6.5,40.7468341709,-73.9507537688,360810007003003,Queens,NY,36081000700,0.08731254178175231,1.0
6235244,3126,40.74718234,-73.9432635,1417,tmp,36081001900,Queens,Queens,1655,853,802,20.0,45.6,1.9,0.0,29.5,1042,117788.0,18798.0,74751.0,15461.0,7.6,0.0,70.2,9.5,17.8,0.0,2.5,8.9,0.4,83.1,1.9,3.7,1.9,28.9,1187,86.4,8.5,5.1,0.0,6.9,40.7468341709,-73.9444221106,360810019001060,Queens,NY,36081001900,0.10503350143003387,1.0
6253298,3127,40.74966,-73.9521,497,tmp,36081001900,Queens,Queens,1655,853,802,20.0,45.6,1.9,0.0,29.5,1042,117788.0,18798.0,74751.0,15461.0,7.6,0.0,70.2,9.5,17.8,0.0,2.5,8.9,0.4,83.1,1.9,3.7,1.9,28.9,1187,86.4,8.5,5.1,0.0,6.9,40.7490954774,-73.9507537688,360810019001040,Queens,NY,36081001900,0.1296586272662136,1.0
6271357,3128,40.75052534,-73.94594845,381,tmp,36081001900,Queens,Queens,1655,853,802,20.0,45.6,1.9,0.0,29.5,1042,117788.0,18798.0,74751.0,15461.0,7.6,0.0,70.2,9.5,17.8,0.0,2.5,8.9,0.4,83.1,1.9,3.7,1.9,28.9,1187,86.4,8.5,5.1,0.0,6.9,40.7513567839,-73.9444221106,360810019001019,Queens,NY,36081001900,0.15841150307063992,1.0
6289432,3129,40.75110165,-73.94073717,2386,tmp,36081003300,Queens,Queens,2806,1504,1302,28.0,30.0,2.4,0.0,36.0,1406,54025.0,6551.0,32673.0,4559.0,22.9,41.4,36.2,23.7,24.5,2.9,12.7,10.1,5.0,69.7,7.3,4.1,3.7,32.4,1683,85.3,3.4,10.8,0.5,5.7,40.7513567839,-73.9412562814,360810033001012,Queens,NY,36081003300,0.05214075703810341,1.0
6307469,3130,40.75325964,-73.94335788,783,tmp,36081002500,Queens,Queens,6392,2712,3680,43.4,2.0,44.7,0.9,7.3,4511,16584.0,2154.0,13973.0,3524.0,48.2,54.8,4.8,40.7,35.6,3.4,15.5,11.0,1.8,79.6,6.9,0.6,0.0,42.1,2150,81.1,14.9,3.3,0.7,15.1,40.753618090500005,-73.9444221106,360810025004000,Queens,NY,36081002500,0.0981357569133658,1.0
6324672,3131,40.76712840349542,-73.96224617958069,1004,tmp,36061012000,New York,Manhattan,3158,1322,1836,5.7,87.6,1.3,0.4,5.1,2504,148833.0,40452.0,138832.0,30304.0,6.4,0.0,81.7,5.1,11.0,0.0,2.2,8.8,0.0,31.5,34.2,6.8,18.7,24.5,1504,86.4,2.9,10.6,0.0,3.5,40.767185929600004,-73.9634170854,360610120001000,New York,NY,36061012000,0.09884686028243549,1.0
6342699,3132,40.76350532,-73.97109243,2444,tmp,36061011203,New York,Manhattan,1166,451,715,6.3,76.5,2.2,0.0,14.9,846,128083.0,27382.0,151378.0,31700.0,10.9,9.9,73.4,6.9,19.7,0.0,0.0,5.8,0.8,27.1,52.3,6.9,7.2,20.9,792,78.7,7.2,13.0,1.1,1.9,40.7626633166,-73.9697487437,360610112032000,New York,NY,36061011203,0.14692205415443366,1.0
6360756,3134,40.76312584,-73.96526895,1824,tmp,36061011402,New York,Manhattan,2345,1103,1242,3.9,84.8,0.5,0.0,10.1,1771,151131.0,28652.0,140227.0,24771.0,4.0,2.8,77.8,1.9,19.1,0.6,0.6,10.4,0.3,39.1,31.6,9.5,9.1,23.4,1233,82.6,7.2,9.0,1.1,5.7,40.7626633166,-73.9665829146,360610114021002,New York,NY,36061011402,0.12206894089472739,1.0
6378873,3135,40.77112927,-73.95772297,1252,tmp,36061013400,New York,Manhattan,11688,5011,6677,7.9,79.9,1.8,0.0,6.6,8793,97801.0,10994.0,95574.0,18373.0,14.3,22.5,72.6,5.5,19.8,1.5,0.6,6.2,1.6,59.4,22.9,6.4,3.6,27.0,7484,84.7,7.7,7.6,0.0,4.6,40.7717085427,-73.9570854271,360610134002000,New York,NY,36061013400,0.08387912638417337,1.0
