,start_station_id,start_station_latitude,start_station_longitude,tripduration,tmp,CensusTract,County_x,Borough,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Latitude,Longitude,BlockCode,County_y,State,BlockCode_11,borough_distance,distance_rank
6521,72,40.76727216,-73.99392888,3607,tmp,36061013500,New York,Manhattan,6384,3286,3098,36.3,40.9,9.1,0.0,13.3,5049,62290.0,11169.0,65809.0,8277.0,18.6,26.6,57.5,13.2,23.9,1.1,4.3,6.9,1.1,41.0,39.5,7.9,3.7,28.0,3438,84.9,7.2,7.9,0.0,5.7,40.767185929600004,-73.99507537689999,360610135002005,New York,NY,36061013500,0.09705825863389957,1.0
24197,79,40.71911552,-74.00666661,2082,tmp,36061003300,New York,Manhattan,5005,2490,2515,7.5,74.2,3.4,0.0,9.5,3461,,,213267.0,52857.0,4.1,0.0,79.5,3.3,16.4,0.0,0.8,5.7,1.0,50.6,21.8,12.1,8.9,24.8,3262,91.8,3.0,5.2,0.0,3.5,40.7196984925,-74.0077386935,360610033003015,New York,NY,36061003300,0.11123476609228229,1.0
42233,82,40.71117416,-74.00016545,1214,tmp,36061002900,New York,Manhattan,6050,3671,2379,11.5,7.5,10.8,0.2,66.3,4017,30629.0,7401.0,26578.0,7580.0,20.6,10.6,32.3,30.4,23.4,9.9,4.1,2.8,4.0,45.5,43.6,2.1,2.1,29.4,2040,90.1,3.8,6.1,0.0,3.3,40.7106532663,-74.0014070352,360610029004022,New York,NY,36061002900,0.11964647876160506,1.0
56934,83,40.68382604,-73.97632328,1623,tmp,36047012901,Kings,Brooklyn,2577,1102,1475,30.9,52.5,4.7,0.8,7.7,1918,82071.0,7951.0,45191.0,6895.0,11.2,10.2,61.5,17.5,20.2,0.0,0.7,1.2,0.0,77.1,8.7,3.0,10.0,35.8,1750,88.2,7.9,3.9,0.0,5.7,40.6835175879,-73.976080402,360470129011002,Kings,NY,36047012901,0.03995995885538984,1.0
78536,116,40.74177603,-74.00149746,5761,tmp,36061008300,New York,Manhattan,3929,1534,2395,30.5,49.0,5.8,0.0,11.5,2974,69303.0,17227.0,65689.0,16152.0,18.5,12.5,56.8,10.4,31.2,0.9,0.7,2.0,0.8,68.0,17.0,5.8,6.4,28.0,2170,84.7,9.1,6.2,0.0,11.3,40.7423115578,-74.0014070352,360610083001000,New York,NY,36061008300,0.060052137354748174,1.0
93334,119,40.69608941,-73.97803415,454,tmp,36047021100,Kings,Brooklyn,1362,684,678,38.8,18.2,35.3,0.0,5.1,1004,43000.0,9371.0,33109.0,8009.0,18.7,21.4,44.3,22.7,17.6,3.8,11.5,25.8,2.3,54.7,4.7,8.2,4.4,42.1,731,70.9,20.9,8.2,0.0,9.2,40.6970854271,-73.9792462312,360470211001001,Kings,NY,36047021100,0.15073802156086927,1.0
111430,120,40.68676793,-73.95928168,916,tmp,36047023100,Kings,Brooklyn,3506,1711,1795,8.9,41.5,37.9,0.0,4.4,2894,77039.0,8111.0,36598.0,4034.0,19.0,19.7,55.3,13.9,21.7,4.8,4.4,13.4,0.0,64.4,10.6,5.5,6.1,39.8,2000,82.6,11.9,5.5,0.0,11.8,40.6857788945,-73.9602512563,360470231002002,Kings,NY,36047023100,0.1370765189966143,1.0
132640,127,40.73172428,-74.00674436,4880,tmp,36061006900,New York,Manhattan,2604,1447,1157,7.6,73.9,2.8,0.0,7.1,2041,183750.0,35202.0,139299.0,25912.0,7.4,3.0,75.2,1.7,22.6,0.0,0.5,8.2,0.0,44.9,16.1,15.9,14.9,26.4,1551,85.1,6.3,8.6,0.0,3.4,40.7310050251,-74.0077386935,360610069001007,New York,NY,36061006900,0.1158641566910505,1.0
150624,128,40.72710258,-74.00297088,5565,tmp,36061004900,New York,Manhattan,4388,2315,2073,5.0,83.0,2.6,0.0,8.1,3276,97929.0,10854.0,89563.0,14834.0,4.7,0.0,75.6,4.9,15.3,2.8,1.5,7.6,0.3,46.8,22.9,13.2,9.2,22.9,2980,81.9,5.2,12.9,0.0,5.0,40.7264824121,-74.0014070352,360610049003001,New York,NY,36061004900,0.1487794249729471,1.0
164708,143,40.69239502,-73.99337909,1978,tmp,36047000900,Kings,Brooklyn,4162,1967,2195,7.7,68.9,5.0,0.0,12.8,3209,121083.0,44908.0,86132.0,12844.0,7.7,1.0,78.6,3.2,16.7,0.0,1.6,2.1,0.3,78.0,8.9,3.8,7.0,30.4,2632,86.8,7.8,5.4,0.0,5.1,40.6925628141,-73.9919095477,360470009001003,Kings,NY,36047000900,0.12533372967544373,1.0
184509,144,40.69839895,-73.98068914,873,tmp,36047054300,Kings,Brooklyn,382,214,168,23.6,50.8,17.0,0.0,2.6,255,92500.0,48818.0,54282.0,19808.0,10.2,40.3,56.5,15.5,21.9,0.0,6.1,16.8,0.0,46.0,4.0,8.0,25.2,39.0,278,85.3,9.7,5.0,0.0,10.3,40.6993467337,-73.9792462312,360470543001044,Kings,NY,36047054300,0.16099505245731777,1.0
204677,146,40.71625008,-74.0091059,2558,tmp,36061002100,New York,Manhattan,6735,3484,3251,3.4,75.4,1.5,0.0,15.2,4365,,,193017.0,27307.0,2.9,1.9,79.6,1.0,19.1,0.0,0.3,6.7,1.2,53.7,21.6,8.7,8.2,24.6,4160,88.5,3.3,8.1,0.0,1.6,40.7151758794,-74.0077386935,360610021001003,New York,NY,36061002100,0.16601910897618494,1.0
222733,150,40.720873600000004,-73.98085795,2970,tmp,36061002202,New York,Manhattan,2019,872,1147,14.6,54.5,4.3,0.0,23.9,1585,68750.0,27796.0,58922.0,14934.0,17.4,8.8,65.6,11.8,16.8,3.9,1.9,1.9,0.5,58.4,28.4,7.9,2.9,29.1,1492,80.9,3.0,14.8,1.3,5.5,40.721959799000004,-73.98241206029999,360610022021001,New York,NY,36061002202,0.17821602845703738,1.0
240877,151,40.72210378668603,-73.99724900722505,6726,tmp,36061004500,New York,Manhattan,984,519,465,2.5,67.9,0.3,0.0,25.2,646,139079.0,50950.0,118156.0,32724.0,3.8,0.0,65.7,2.7,25.2,1.3,5.2,5.4,0.0,53.9,16.3,7.1,17.3,24.1,560,85.0,1.4,13.6,0.0,3.3,40.721959799000004,-73.998241206,360610045001001,New York,NY,36061004500,0.08516116655281261,1.0
255196,157,40.69089272,-73.99612349,1641,tmp,36047004500,Kings,Brooklyn,3318,1539,1779,3.6,86.3,1.4,0.0,5.1,2615,138281.0,20771.0,92429.0,10077.0,3.7,0.0,76.3,5.7,16.2,0.6,1.3,4.4,0.2,66.9,13.1,5.6,9.8,32.4,2177,80.3,10.4,9.3,0.0,3.7,40.6903015075,-73.99507537689999,360470045001001,Kings,NY,36047004500,0.11017461611942257,1.0
276998,161,40.72917025,-73.99810231,4165,tmp,36061005501,New York,Manhattan,4747,2536,2211,0.9,72.8,2.5,0.4,17.0,3363,134417.0,45311.0,70297.0,9743.0,4.8,0.0,93.3,1.0,5.1,0.0,0.6,8.4,2.8,30.3,54.7,1.1,2.6,23.0,2714,89.1,5.5,5.4,0.0,3.6,40.7287437186,-73.998241206,360610055012000,New York,NY,36061005501,0.04886622536435852,1.0
295193,164,40.75323098,-73.97032517,2885,tmp,36061009000,New York,Manhattan,7306,3428,3878,10.0,60.1,2.4,0.0,25.4,4943,119196.0,17482.0,101494.0,15029.0,8.9,0.0,73.1,1.8,19.7,3.1,2.2,3.4,1.0,37.0,44.7,5.6,8.4,26.8,5443,86.4,9.5,4.0,0.0,2.2,40.753618090500005,-73.9697487437,360610090005001,New York,NY,36061009000,0.06490760215243704,1.0
313203,167,40.7489006,-73.97604882,3444,tmp,36061008000,New York,Manhattan,5045,2305,2740,6.3,80.8,2.0,0.0,10.1,4003,110242.0,24765.0,104572.0,12870.0,10.5,2.6,74.4,1.8,21.7,1.3,0.8,3.3,1.3,32.2,43.2,7.7,12.4,23.6,3307,83.9,3.8,11.9,0.4,4.9,40.7490954774,-73.976080402,360610080001002,New York,NY,36061008000,0.021838935782479828,1.0
331287,168,40.73971301,-73.99456405,6087,tmp,36061008700,New York,Manhattan,7159,3829,3330,12.3,74.1,0.8,0.0,9.6,5366,122569.0,31244.0,126749.0,27559.0,4.6,3.4,64.4,5.1,28.6,1.3,0.6,3.8,1.7,52.9,30.8,7.1,3.7,23.5,5253,86.6,7.2,6.2,0.0,4.8,40.7400502513,-73.99507537689999,360610087001003,New York,NY,36061008700,0.05713227322057023,1.0
349469,173,40.76068327096592,-73.98452728986742,5473,tmp,36061012500,New York,Manhattan,2483,1443,1040,7.2,56.6,2.4,0.3,31.9,1672,150682.0,21997.0,121754.0,19341.0,8.8,0.0,75.3,2.6,20.5,0.9,0.7,5.6,2.3,36.4,47.7,4.9,3.1,23.4,1873,91.9,4.8,3.4,0.0,3.1,40.7604020101,-73.98557788939999,360610125002001,New York,NY,36061012500,0.09387952807231442,1.0
367286,174,40.7381765,-73.97738662,2835,tmp,36061006200,New York,Manhattan,4536,2420,2116,13.2,45.3,17.1,0.1,20.1,2932,82102.0,36366.0,33057.0,4483.0,36.9,2.3,71.8,7.7,16.7,1.9,1.9,2.3,2.4,40.1,49.5,2.0,3.8,24.8,1591,76.6,20.2,3.2,0.0,7.4,40.7377889447,-73.976080402,360610062001001,New York,NY,36061006200,0.11822597856857635,1.0
385133,195,40.70905623,-74.01043382,3227,tmp,36061000700,New York,Manhattan,8794,4214,4580,6.6,69.3,2.4,0.0,20.5,6198,117841.0,13607.0,89303.0,13293.0,10.6,5.3,71.9,3.0,24.2,0.9,0.0,2.5,0.0,62.3,27.8,0.5,6.9,24.9,6463,91.6,5.9,2.5,0.0,4.4,40.708391959800004,-74.0109045226,360610007001001,New York,NY,36061000700,0.08387110059099472,1.0
403470,212,40.74334935,-74.00681753,4526,tmp,36061008300,New York,Manhattan,3929,1534,2395,30.5,49.0,5.8,0.0,11.5,2974,69303.0,17227.0,65689.0,16152.0,18.5,12.5,56.8,10.4,31.2,0.9,0.7,2.0,0.8,68.0,17.0,5.8,6.4,28.0,2170,84.7,9.1,6.2,0.0,11.3,40.7423115578,-74.0077386935,360610083003003,New York,NY,36061008300,0.13910846129876045,1.0
417420,216,40.70037867,-73.99548059,759,tmp,36047000100,Kings,Brooklyn,4304,2196,2108,9.8,70.4,10.5,0.0,5.8,3501,70938.0,25488.0,64507.0,11170.0,15.2,0.0,66.6,9.3,19.5,3.0,1.6,7.4,0.6,63.9,9.1,3.4,15.6,32.7,2220,74.2,9.3,16.5,0.0,4.1,40.6993467337,-73.99507537689999,360470001002002,Kings,NY,36047000100,0.11976041406574416,1.0
439328,217,40.70277159,-73.99383605,3117,tmp,36061001501,New York,Manhattan,6502,3007,3495,10.2,57.6,5.6,0.0,25.1,5474,81867.0,11845.0,80454.0,18586.0,10.3,0.0,67.8,6.9,20.1,2.5,2.6,5.7,0.0,50.6,32.0,6.8,5.0,22.5,3663,86.3,10.8,2.9,0.0,5.0,40.7038693467,-73.99507537689999,360610015010001,New York,NY,36061001501,0.16071788475886611,1.0
457603,223,40.73781509,-73.99994661,4030,tmp,36061007700,New York,Manhattan,5599,3354,2245,8.5,81.4,1.4,0.0,7.4,4728,127729.0,17801.0,114729.0,18942.0,3.5,2.0,74.2,1.0,21.0,1.7,2.1,5.1,1.8,54.9,21.2,8.2,8.7,22.8,4166,85.0,5.5,9.5,0.0,4.2,40.7377889447,-74.0014070352,360610077001001,New York,NY,36061007700,0.12311793896443682,1.0
475438,224,40.71146364,-74.00552427,2239,tmp,36061001501,New York,Manhattan,6502,3007,3495,10.2,57.6,5.6,0.0,25.1,5474,81867.0,11845.0,80454.0,18586.0,10.3,0.0,67.8,6.9,20.1,2.5,2.6,5.7,0.0,50.6,32.0,6.8,5.0,22.5,3663,86.3,10.8,2.9,0.0,5.0,40.7106532663,-74.0045728643,360610015011009,New York,NY,36061001501,0.12066242120376537,1.0
493770,228,40.7546011026,-73.971878855,2422,tmp,36061009200,New York,Manhattan,1717,822,895,5.4,75.7,2.0,0.0,16.0,1376,122379.0,38576.0,111765.0,20723.0,5.4,7.2,75.4,2.1,21.0,0.5,1.1,2.4,0.0,37.2,51.6,1.4,7.4,25.5,1414,87.0,4.7,8.3,0.0,1.7,40.753618090500005,-73.9729145729,360610092001012,New York,NY,36061009200,0.13989648596779433,1.0
511676,229,40.72743423,-73.99379025,5883,tmp,36061005502,New York,Manhattan,2278,1113,1165,15.4,68.7,5.0,0.0,4.8,1754,138523.0,54248.0,112533.0,27736.0,12.8,0.0,74.3,4.6,18.8,0.7,1.7,6.0,0.8,61.0,18.2,7.3,6.7,27.5,1422,87.5,2.3,10.2,0.0,4.4,40.7264824121,-73.99507537689999,360610055022004,New York,NY,36061005502,0.15147065883110059,1.0
529686,236,40.7284186,-73.98713956,4542,tmp,36061004000,New York,Manhattan,8947,5235,3712,8.5,73.8,6.7,0.0,9.1,7313,85338.0,10600.0,55645.0,7307.0,13.0,0.0,66.3,13.4,13.8,5.4,1.1,3.4,0.6,63.2,21.6,4.4,6.8,30.3,5870,83.6,8.3,8.1,0.0,4.1,40.7287437186,-73.98557788939999,360610040004000,New York,NY,36061004000,0.1365117349496834,1.0
547740,237,40.73047309,-73.98672378,3552,tmp,36061004000,New York,Manhattan,8947,5235,3712,8.5,73.8,6.7,0.0,9.1,7313,85338.0,10600.0,55645.0,7307.0,13.0,0.0,66.3,13.4,13.8,5.4,1.1,3.4,0.6,63.2,21.6,4.4,6.8,30.3,5870,83.6,8.3,8.1,0.0,4.1,40.7310050251,-73.98557788939999,360610040006001,New York,NY,36061004000,0.1132670286791038,1.0
565911,238,40.7361967,-74.00859207,2942,tmp,36061007500,New York,Manhattan,4358,2214,2144,8.1,83.9,0.6,0.0,5.5,3382,113682.0,27211.0,124217.0,19567.0,4.5,0.0,73.1,13.7,13.2,0.0,0.0,6.1,0.7,46.4,21.3,10.9,14.6,25.7,2845,86.2,4.9,8.9,0.0,8.0,40.735527638200004,-74.0077386935,360610075002003,New York,NY,36061007500,0.10349565967501094,1.0
579914,239,40.69196566,-73.9813018,2041,tmp,36047001500,Kings,Brooklyn,5962,2875,3087,23.9,31.2,24.6,0.0,17.9,4027,90616.0,12611.0,50871.0,4987.0,26.3,44.8,62.6,11.5,21.5,1.4,3.0,9.0,1.2,70.9,9.7,2.9,6.3,33.5,3368,82.3,11.2,6.3,0.2,11.0,40.6925628141,-73.98241206029999,360470015003012,Kings,NY,36047001500,0.11480195920620904,1.0
598090,241,40.68981035,-73.97493121,1369,tmp,36047003100,Kings,Brooklyn,2837,1196,1641,14.1,24.6,38.1,0.0,16.9,2325,69609.0,10759.0,32328.0,3662.0,3.3,0.0,64.1,10.3,20.9,1.1,3.6,5.0,2.7,51.5,24.5,5.9,10.4,27.3,1219,73.7,17.4,8.9,0.0,10.8,40.6903015075,-73.976080402,360470031003000,Kings,NY,36047003100,0.11125901533087822,1.0
616844,242,40.697787,-73.973736,887,tmp,36047021100,Kings,Brooklyn,1362,684,678,38.8,18.2,35.3,0.0,5.1,1004,43000.0,9371.0,33109.0,8009.0,18.7,21.4,44.3,22.7,17.6,3.8,11.5,25.8,2.3,54.7,4.7,8.2,4.4,42.1,731,70.9,20.9,8.2,0.0,9.2,40.6970854271,-73.9729145729,360470211002003,Kings,NY,36047021100,0.1043460666105012,1.0
634197,243,40.68841,-73.979458,1046,tmp,36047003300,Kings,Brooklyn,3157,1536,1621,21.0,55.8,12.0,0.0,7.5,2369,105642.0,20054.0,69786.0,10287.0,17.0,16.1,65.9,11.8,17.4,0.9,4.0,5.2,1.3,63.1,17.6,7.1,5.7,28.5,2170,85.4,9.5,5.1,0.0,4.9,40.688040201,-73.9792462312,360470033002008,Kings,NY,36047003300,0.044843208837234146,1.0
652913,244,40.69196035,-73.96536851,1290,tmp,36047019500,Kings,Brooklyn,4188,2266,1922,15.4,39.9,34.9,0.2,8.3,3084,84187.0,8468.0,44443.0,6340.0,12.8,6.8,60.6,14.5,17.2,3.7,4.0,9.7,2.6,63.7,7.5,6.8,9.7,40.5,2624,75.7,11.2,13.1,0.0,4.9,40.6925628141,-73.9665829146,360470195001000,Kings,NY,36047019500,0.12239401301326727,1.0
670300,245,40.69327018,-73.97703874,835,tmp,36047003100,Kings,Brooklyn,2837,1196,1641,14.1,24.6,38.1,0.0,16.9,2325,69609.0,10759.0,32328.0,3662.0,3.3,0.0,64.1,10.3,20.9,1.1,3.6,5.0,2.7,51.5,24.5,5.9,10.4,27.3,1219,73.7,17.4,8.9,0.0,10.8,40.6925628141,-73.976080402,360470031003000,Kings,NY,36047003100,0.11279561486291498,1.0
692264,247,40.73535398,-74.00483091,3351,tmp,36061007300,New York,Manhattan,5677,3170,2507,9.5,83.3,1.6,0.0,4.9,4762,97149.0,27937.0,99274.0,11993.0,7.0,8.4,71.7,6.0,20.6,0.0,1.6,1.0,0.4,49.5,31.8,6.4,10.8,23.0,4233,86.8,1.5,11.8,0.0,6.2,40.735527638200004,-74.0045728643,360610073005000,New York,NY,36061007300,0.02908800110947702,1.0
710175,248,40.72185379,-74.00771779,896,tmp,36061003300,New York,Manhattan,5005,2490,2515,7.5,74.2,3.4,0.0,9.5,3461,,,213267.0,52857.0,4.1,0.0,79.5,3.3,16.4,0.0,0.8,5.7,1.0,50.6,21.8,12.1,8.9,24.8,3262,91.8,3.0,5.2,0.0,3.5,40.721959799000004,-74.0077386935,360610033003003,New York,NY,36061003300,0.011922308222388423,1.0
728225,249,40.71870987,-74.0090009,1471,tmp,36061003300,New York,Manhattan,5005,2490,2515,7.5,74.2,3.4,0.0,9.5,3461,,,213267.0,52857.0,4.1,0.0,79.5,3.3,16.4,0.0,0.8,5.7,1.0,50.6,21.8,12.1,8.9,24.8,3262,91.8,3.0,5.2,0.0,3.5,40.7196984925,-74.0077386935,360610033003015,New York,NY,36061003300,0.15301871276310564,1.0
746318,251,40.72317958,-73.99480012,4696,tmp,36061004300,New York,Manhattan,4288,2221,2067,7.8,55.4,0.1,0.0,27.1,3291,71635.0,12283.0,68346.0,11800.0,18.0,42.7,66.9,6.5,21.6,0.0,5.0,5.9,3.9,66.6,12.0,5.9,5.8,27.8,2718,86.4,6.0,7.6,0.0,8.6,40.7242211055,-73.99507537689999,360610043001002,New York,NY,36061004300,0.11814956407551871,1.0
764440,252,40.73226398,-73.99852205,3296,tmp,36061006300,New York,Manhattan,6330,2921,3409,4.8,79.7,1.0,0.0,10.8,5083,113284.0,19068.0,112321.0,16178.0,4.0,0.0,77.5,2.3,18.5,0.0,1.7,6.0,1.1,57.2,23.5,6.3,5.9,25.6,3774,78.5,9.2,12.3,0.0,5.8,40.7332663317,-73.998241206,360610063004000,New York,NY,36061006300,0.11397656382975468,1.0
782518,254,40.73532427,-73.99800419,3451,tmp,36061007100,New York,Manhattan,6115,2830,3285,2.7,78.9,1.5,1.9,12.9,5031,125028.0,9155.0,112005.0,18071.0,8.2,0.0,72.8,5.6,20.4,0.0,1.2,3.1,1.9,60.4,19.3,7.5,7.8,27.0,4244,79.3,7.0,13.7,0.0,4.3,40.735527638200004,-73.998241206,360610071003000,New York,NY,36061007100,0.030178513546229895,1.0
800488,257,40.71939226,-74.00247214,3869,tmp,36061004500,New York,Manhattan,984,519,465,2.5,67.9,0.3,0.0,25.2,646,139079.0,50950.0,118156.0,32724.0,3.8,0.0,65.7,2.7,25.2,1.3,5.2,5.4,0.0,53.9,16.3,7.1,17.3,24.1,560,85.0,1.4,13.6,0.0,3.3,40.7196984925,-74.0014070352,360610045001010,New York,NY,36061004500,0.09603456844419477,1.0
815354,258,40.68940747,-73.96885458,1265,tmp,36047018300,Kings,Brooklyn,2692,1246,1446,12.1,55.3,19.6,0.0,6.7,2026,93625.0,7226.0,57525.0,7766.0,7.7,1.8,68.3,10.4,17.7,3.1,0.5,7.1,6.3,71.8,5.0,2.9,6.8,36.1,1766,80.0,10.7,9.3,0.0,9.1,40.6903015075,-73.9697487437,360470183001003,Kings,NY,36047018300,0.12480494318888603,1.0
836446,259,40.70122128,-74.01234218,2863,tmp,36061000900,New York,Manhattan,1626,946,680,8.2,74.4,1.8,0.0,12.7,1167,147500.0,30405.0,111599.0,16700.0,6.0,12.9,67.6,2.6,25.5,0.2,4.1,10.0,0.4,51.9,24.1,3.3,10.4,26.1,1120,89.3,4.6,6.1,0.0,2.8,40.7016080402,-74.0109045226,360610009001018,New York,NY,36061000900,0.1286375120023956,1.0
854501,260,40.70365182,-74.01167797,1275,tmp,36061000900,New York,Manhattan,1626,946,680,8.2,74.4,1.8,0.0,12.7,1167,147500.0,30405.0,111599.0,16700.0,6.0,12.9,67.6,2.6,25.5,0.2,4.1,10.0,0.4,51.9,24.1,3.3,10.4,26.1,1120,89.3,4.6,6.1,0.0,2.8,40.7038693467,-74.0109045226,360610009001010,New York,NY,36061000900,0.06956241783614998,1.0
868747,261,40.69474881,-73.98362464,1220,tmp,36047001500,Kings,Brooklyn,5962,2875,3087,23.9,31.2,24.6,0.0,17.9,4027,90616.0,12611.0,50871.0,4987.0,26.3,44.8,62.6,11.5,21.5,1.4,3.0,9.0,1.2,70.9,9.7,2.9,6.3,33.5,3368,82.3,11.2,6.3,0.2,11.0,40.694824120599996,-73.98241206029999,360470015002006,Kings,NY,36047001500,0.10260392018294975,1.0
887563,262,40.6917823,-73.97372990000001,1078,tmp,36047018300,Kings,Brooklyn,2692,1246,1446,12.1,55.3,19.6,0.0,6.7,2026,93625.0,7226.0,57525.0,7766.0,7.7,1.8,68.3,10.4,17.7,3.1,0.5,7.1,6.3,71.8,5.0,2.9,6.8,36.1,1766,80.0,10.7,9.3,0.0,9.1,40.6925628141,-73.9729145729,360470183003001,Kings,NY,36047018300,0.1107490388072794,1.0
908640,264,40.70706456,-74.00731853,2056,tmp,36061000700,New York,Manhattan,8794,4214,4580,6.6,69.3,2.4,0.0,20.5,6198,117841.0,13607.0,89303.0,13293.0,10.6,5.3,71.9,3.0,24.2,0.9,0.0,2.5,0.0,62.3,27.8,0.5,6.9,24.9,6463,91.6,5.9,2.5,0.0,4.4,40.7061306533,-74.0077386935,360610007001011,New York,NY,36061000700,0.10975344712962594,1.0
926803,265,40.72229346,-73.99147535,4010,tmp,36061003601,New York,Manhattan,3238,1835,1403,37.6,25.2,9.3,1.4,23.2,2199,44286.0,12364.0,45340.0,10430.0,32.9,44.7,47.1,22.3,22.3,4.7,3.6,4.1,0.7,53.1,30.6,6.2,5.3,23.9,1419,93.4,2.5,4.1,0.0,14.8,40.721959799000004,-73.9919095477,360610036013002,New York,NY,36061003601,0.05212601515229161,1.0
944829,266,40.72368361,-73.97574813,2011,tmp,36061002602,New York,Manhattan,4266,2089,2177,21.7,45.9,3.5,0.9,16.8,3244,70037.0,16189.0,49294.0,10103.0,14.2,0.0,59.6,7.3,24.8,0.6,7.7,2.3,1.7,42.4,34.3,15.5,3.8,30.7,2686,78.5,12.1,9.4,0.0,2.8,40.7242211055,-73.976080402,360610026021000,New York,NY,36061002602,0.06602151821404705,1.0
963193,267,40.75097711,-73.98765428,2323,tmp,36061010900,New York,Manhattan,186,73,113,1.1,58.1,10.2,0.0,27.4,116,135750.0,118971.0,84762.0,23629.0,16.7,33.3,68.1,8.1,14.1,0.0,9.6,0.0,0.0,48.4,29.5,16.4,5.7,24.1,135,84.4,3.0,12.6,0.0,4.3,40.7513567839,-73.98874371859999,360610109001007,New York,NY,36061010900,0.1010467999843199,1.0
980990,268,40.71910537,-73.99973337,3741,tmp,36061004100,New York,Manhattan,7897,3838,4059,5.9,34.8,1.0,0.4,55.1,5392,59570.0,19014.0,53593.0,9875.0,18.5,31.4,50.2,15.7,29.1,2.4,2.5,2.2,1.5,54.0,33.6,5.8,2.9,24.9,4313,89.4,6.0,4.6,0.0,5.8,40.7196984925,-73.998241206,360610041005001,New York,NY,36061004100,0.14204357529439915,1.0
995875,270,40.69308257,-73.97178913,1402,tmp,36047018300,Kings,Brooklyn,2692,1246,1446,12.1,55.3,19.6,0.0,6.7,2026,93625.0,7226.0,57525.0,7766.0,7.7,1.8,68.3,10.4,17.7,3.1,0.5,7.1,6.3,71.8,5.0,2.9,6.8,36.1,1766,80.0,10.7,9.3,0.0,9.1,40.6925628141,-73.9729145729,360470183003001,Kings,NY,36047018300,0.11113615455284198,1.0
1013290,274,40.68691865,-73.976682,1692,tmp,36047003300,Kings,Brooklyn,3157,1536,1621,21.0,55.8,12.0,0.0,7.5,2369,105642.0,20054.0,69786.0,10287.0,17.0,16.1,65.9,11.8,17.4,0.9,4.0,5.2,1.3,63.1,17.6,7.1,5.7,28.5,2170,85.4,9.5,5.1,0.0,4.9,40.688040201,-73.976080402,360470033001001,Kings,NY,36047003300,0.13467424372116316,1.0
1032014,275,40.68650065,-73.96563307,948,tmp,36047019900,Kings,Brooklyn,2863,1366,1497,10.8,39.8,32.3,0.0,11.8,2173,67656.0,17672.0,46365.0,6625.0,14.0,7.2,64.3,10.2,18.4,1.9,5.2,11.6,0.0,72.4,4.9,7.4,3.7,35.6,1831,81.5,9.5,9.0,0.0,2.9,40.6857788945,-73.9665829146,360470199001001,Kings,NY,36047019900,0.1134165247740431,1.0
1053182,276,40.71748752,-74.0104554,1623,tmp,36061003900,New York,Manhattan,5216,2362,2854,11.1,71.2,5.1,0.0,7.6,3817,135250.0,60346.0,142738.0,32310.0,6.2,8.3,70.2,4.1,24.5,0.0,1.2,7.4,0.8,50.6,20.6,11.0,9.6,28.3,2951,76.3,9.5,14.1,0.0,2.8,40.7174371859,-74.0109045226,360610039003000,New York,NY,36061003900,0.03827498538612703,1.0
1067315,278,40.69766564,-73.98476437,828,tmp,36047001300,Kings,Brooklyn,2562,1420,1142,17.6,58.7,10.7,0.0,11.7,2111,111500.0,14023.0,45902.0,6941.0,35.0,4.2,78.0,6.5,12.1,1.5,1.9,7.8,0.0,65.5,18.9,1.6,6.1,32.2,1000,70.2,23.2,6.6,0.0,3.3,40.6970854271,-73.98557788939999,360470013001012,Kings,NY,36047001300,0.09418915535030722,1.0
1089204,279,40.707873,-74.00166999999999,3306,tmp,36061001501,New York,Manhattan,6502,3007,3495,10.2,57.6,5.6,0.0,25.1,5474,81867.0,11845.0,80454.0,18586.0,10.3,0.0,67.8,6.9,20.1,2.5,2.6,5.7,0.0,50.6,32.0,6.8,5.0,22.5,3663,86.3,10.8,2.9,0.0,5.0,40.708391959800004,-74.0014070352,360610015013013,New York,NY,36061001501,0.06183568786360597,1.0
1107409,280,40.73331967,-73.99510132,2936,tmp,36061006100,New York,Manhattan,5032,2336,2696,6.2,81.1,1.7,0.0,10.0,4242,108973.0,16519.0,84699.0,16541.0,5.0,11.1,74.2,6.3,18.7,0.0,0.9,5.1,6.7,48.2,20.1,7.6,12.4,23.4,2759,86.0,5.9,7.4,0.7,4.0,40.7332663317,-73.99507537689999,360610061001003,New York,NY,36061006100,0.006322935870738186,1.0
1125774,281,40.764397100000004,-73.97371465,7421,tmp,36061014300,New York,Manhattan,5,0,5,40.0,0.0,40.0,0.0,0.0,4,,,2980.0,11980.0,100.0,,,,,,,,,,,,,,0,,,,,100.0,40.7649246231,-73.9729145729,360610143001051,New York,NY,36061014300,0.08936460034674508,1.0
1141295,282,40.7076449441757,-73.96841526031494,1889,tmp,36047054700,Kings,Brooklyn,5071,2615,2456,19.1,69.3,4.9,0.0,5.1,2912,39773.0,9086.0,21313.0,2567.0,43.4,54.8,55.7,13.9,20.4,1.2,8.8,10.1,4.7,47.6,18.8,9.6,9.2,34.2,2125,84.1,5.2,10.7,0.0,6.7,40.708391959800004,-73.9697487437,360470547003004,Kings,NY,36047054700,0.1398060103875619,1.0
